,latitude,longitude,name,Address,Area,Cost for two,Cuisine,Hours,Ratings,Type,Votes,Food-choices
0,22.568942,88.433182,Barbeque Nation," K1, RDB Boulevard, Block EP & GP, Sector 5, Salt Lake","RDB Boulevard, Sector 5",1400," North Indian, Chinese, Charcoal Grill, Kebab, BBQ","                                12 Noon to 2:45 PM, 6:30 PM to 10:45 PM (Mon-Sun)",4.8,Casual Dining,6424 votes,"ChickenDumBiryani,VegetableBiryani,MalaiKofta,Mocktails,MangoPastry,Firni,MuttonDakBunglow"
1,22.5137382464,88.3627206087,What's Up," 122A, Southern Avenue, Kolkata",Southern Avenue,1000," Chinese, Continental, Italian, Kebab","                                12 Noon to 12 Midnight (Mon, Tue, Wed, Thu, Sun), 12...",4.1,"Casual Dining,Lounge",1730 votes,"ChickenTikka,Mocktails,KiwiMojito,Bruschettas,Pinacolada,Risotto,Lasagne"
2,22.5525052927,88.3526985347,Peter Cat," 18A, Park Street, Park Street Area, Kolkata",Park Street Area,1200," Continental, North Indian",                                11 AM to 11:20 PM (Mon-Sun),4.2,Casual Dining,8396 votes,"CheloKebab,PrawnCurry,Screwdriver,MangoSouffle,SeaFood,AfghaniKebab,ChickenBharta"
3,22.518565,88.350252,Oudh 1590," 23/B, Desapriya Park(West)",Desapriya Park,1200," Mughlai, Awadhi","                                12 Noon to 3:30 PM, 6:30 PM to 10:30 PM (Mon-Sun)",4.3,Casual Dining,4065 votes,"RaanBiryani,GalautiKebab,Kheer,DalMakhani,ChickenIrani,DumBiryani,HandiBiryani"
4,22.5148736898,88.3932954445,Hoppipola," Acropolis Mall (4th Floor),1858, Rajdanga Main Road,? Kasba, ?Kolkata-700108","Acropolis Mall, Kasba",1500," Italian, Mexican, American, Mediterranean","                                12:30 PM to 11 PM (Mon, Tue, Wed, Thu, Fri, Sun)...",4.1,"Bar,Casual Dining",1721 votes,"Risotto,PorkPlatter,Brownie,PassionMartini,LongIslandIcedTea,ChickenSkewer,Nachos"
5,22.5148736898,88.3932954445,Ozora," Acropolis Mall, 1858, Rajdanga Main Road, Kasba, Kolkata","Acropolis Mall, Kasba",1700," Chinese, North Indian",                                4 PM to 12 Midnight (Mon-Sun),3.8,"Bar,Lounge",448 votes,"Mocktails,CrispyChicken,DaabChingri"
6,22.5279139,88.3679881,6 Ballygunge Place," 6, Ballygunge Place, Ballygunge, Kolkata",Ballygunge,1000, Bengali,"                                12:30 PM to 3:30 PM, 7 PM to 10:30 PM (Mon-Sun)",4.5,Casual Dining,2067 votes,"DaabChingri,FriedFish,Luchi,DimerDevil,BhapaDoi,PrawnMalaiCurry,Rasmalai"
7,22.5479593,88.3992831,JW Kitchen - JW Marriott Hotel Kolkata," JW Marriott Hotel Kolkata, 4A, J.B.S Haldane Avenue, Science City Area, Kolkata","JW Marriott Hotel Kolkata, Science City Area",2000," North Indian, European, Mediterranean, Thai, Salad, Juices",                                24 Hours (Mon-Sun),4.5,Casual Dining,1040 votes,"PaneerTikka,MuttonBiryani,ChocolateMousse,Noodles,DahiVada,CremeBrulee,ChickenBiryani"
8,22.526294,88.364614,Spice Kraft," 54/1/2A, Hazra Road, Ballygunge Phari, Near Hazra Law College, Ballygunge, Kolkata",Ballygunge,1200," Continental, Asian, Middle Eastern","                                12 Noon to 3 PM, 6 PM to 12 Midnight (Mon, Thu, Fri...",4.8,Casual Dining,2231 votes,"ShephardsPie,Mocktails,DajajChermoula,Mousse,SaffronRice,Sushi,BeerCocktail"
9,22.5528963637,88.3525379375,BarBQ," 43-47-55, Park Street Area, Kolkata",Park Street Area,900," Chinese, North Indian",                                12 Noon to 11:15 PM (Mon-Sun),4.3,"Casual Dining,Bar",5789 votes,"Noodles,ChickenButterMasala,ChickenHakkaChowmein,ChickenBharta,MuttonRoganjosh,JeeraRice,PorkChowmein"
10,22.6233044,88.4502776,Traffic Gastropub,,,,,,,,,FriendlyStaff
11,22.5420038624,88.3636107668,Arsalan," 28, Circus Avenue, Near A.J.C. Bose Road Flyover, Park Circus Area, Kolkata",Park Circus Area,700," North Indian, Mughlai, Rolls",                                11 AM to 12 Midnight (Mon-Sun),4.2,Casual Dining,4227 votes,"Firni,MuttonKosha,ChickenChatpata,MuttonBiryani,Haleem,TandooriChicken,ChickenTikkaKebab"
12,22.5422852,88.351764,Scrapyard," 10th Floor, 12-A, Usha Kiran Building, Camac Street Area, Kolkata",Camac Street Area,1100," North Indian, Chinese, Continental","                                1 PM to 12 Midnight (Mon, Tue, Wed, Thu, Sun), 12...",3.6,"Lounge,Casual Dining",227 votes,"PaneerTikka,Mocktails,VirginMojito,Chocolava"
13,22.5419254,88.3858001,The GRID," Haute Street Corporate Park, 86A Topsia Road (South), Kolkata",Topsia,1800," Continental, Burger, Italian, Pizza","                                12 Noon to 12 Midnight (Mon, Tue, Wed, Thu, Sun), 12...",4.3,"Microbrewery,Casual Dining",670 votes,"ThinCrustPizza,Mocktails,CraftBeer,Stout,BrewedBeer,Mudpie,TandooriAloo"
14,22.5382752,88.3653259,Chili's Grill & Bar," 4th Floor, Quest Mall, 33, Syed Ali Amir Avenue, Ballygunge, Kolkata","Quest Mall, Ballygunge",1700," American, Mexican, Italian, Burger",                                12 Noon to 11:30 PM (Mon-Sun),4.9,"Casual Dining,Bar",4352 votes,"TomatoSoup,Sangria,SantaFeSalad,Mocktails,Fajitas,Fajita,ChickenNachos"
15,22.568942,88.433182,Barbeque Nation," K1, RDB Boulevard, Block EP & GP, Sector 5, Salt Lake","RDB Boulevard, Sector 5",1400," North Indian, Chinese, Charcoal Grill, Kebab, BBQ","                                12 Noon to 2:45 PM, 6:30 PM to 10:45 PM (Mon-Sun)",4.8,Casual Dining,6424 votes,"ChickenDumBiryani,VegetableBiryani,MalaiKofta,Mocktails,MangoPastry,Firni,MuttonDakBunglow"
16,22.5137382464,88.3627206087,What's Up," 122A, Southern Avenue, Kolkata",Southern Avenue,1000," Chinese, Continental, Italian, Kebab","                                12 Noon to 12 Midnight (Mon, Tue, Wed, Thu, Sun), 12...",4.1,"Casual Dining,Lounge",1730 votes,"ChickenTikka,Mocktails,KiwiMojito,Bruschettas,Pinacolada,Risotto,Lasagne"
17,22.5525052927,88.3526985347,Peter Cat," 18A, Park Street, Park Street Area, Kolkata",Park Street Area,1200," Continental, North Indian",                                11 AM to 11:20 PM (Mon-Sun),4.2,Casual Dining,8396 votes,"CheloKebab,PrawnCurry,Screwdriver,MangoSouffle,SeaFood,AfghaniKebab,ChickenBharta"
18,22.518565,88.350252,Oudh 1590," 23/B, Desapriya Park(West)",Desapriya Park,1200," Mughlai, Awadhi","                                12 Noon to 3:30 PM, 6:30 PM to 10:30 PM (Mon-Sun)",4.3,Casual Dining,4065 votes,"RaanBiryani,GalautiKebab,Kheer,DalMakhani,ChickenIrani,DumBiryani,HandiBiryani"
19,22.5148736898,88.3932954445,Hoppipola," Acropolis Mall (4th Floor),1858, Rajdanga Main Road,? Kasba, ?Kolkata-700108","Acropolis Mall, Kasba",1500," Italian, Mexican, American, Mediterranean","                                12:30 PM to 11 PM (Mon, Tue, Wed, Thu, Fri, Sun)...",4.1,"Bar,Casual Dining",1721 votes,"Risotto,PorkPlatter,Brownie,PassionMartini,LongIslandIcedTea,ChickenSkewer,Nachos"
20,22.5148736898,88.3932954445,Ozora," Acropolis Mall, 1858, Rajdanga Main Road, Kasba, Kolkata","Acropolis Mall, Kasba",1700," Chinese, North Indian",                                4 PM to 12 Midnight (Mon-Sun),3.8,"Bar,Lounge",448 votes,"Mocktails,CrispyChicken,DaabChingri"
21,22.5279139,88.3679881,6 Ballygunge Place," 6, Ballygunge Place, Ballygunge, Kolkata",Ballygunge,1000, Bengali,"                                12:30 PM to 3:30 PM, 7 PM to 10:30 PM (Mon-Sun)",4.5,Casual Dining,2067 votes,"DaabChingri,FriedFish,Luchi,DimerDevil,BhapaDoi,PrawnMalaiCurry,Rasmalai"
22,22.5479593,88.3992831,JW Kitchen - JW Marriott Hotel Kolkata," JW Marriott Hotel Kolkata, 4A, J.B.S Haldane Avenue, Science City Area, Kolkata","JW Marriott Hotel Kolkata, Science City Area",2000," North Indian, European, Mediterranean, Thai, Salad, Juices",                                24 Hours (Mon-Sun),4.5,Casual Dining,1040 votes,"PaneerTikka,MuttonBiryani,ChocolateMousse,Noodles,DahiVada,CremeBrulee,ChickenBiryani"
23,22.526294,88.364614,Spice Kraft," 54/1/2A, Hazra Road, Ballygunge Phari, Near Hazra Law College, Ballygunge, Kolkata",Ballygunge,1200," Continental, Asian, Middle Eastern","                                12 Noon to 3 PM, 6 PM to 12 Midnight (Mon, Thu, Fri...",4.8,Casual Dining,2231 votes,"ShephardsPie,Mocktails,DajajChermoula,Mousse,SaffronRice,Sushi,BeerCocktail"
24,22.5528963637,88.3525379375,BarBQ," 43-47-55, Park Street Area, Kolkata",Park Street Area,900," Chinese, North Indian",                                12 Noon to 11:15 PM (Mon-Sun),4.3,"Casual Dining,Bar",5789 votes,"Noodles,ChickenButterMasala,ChickenHakkaChowmein,ChickenBharta,MuttonRoganjosh,JeeraRice,PorkChowmein"
25,22.6233044,88.4502776,Traffic Gastropub,,,,,,,,,FriendlyStaff
26,22.5420038624,88.3636107668,Arsalan," 28, Circus Avenue, Near A.J.C. Bose Road Flyover, Park Circus Area, Kolkata",Park Circus Area,700," North Indian, Mughlai, Rolls",                                11 AM to 12 Midnight (Mon-Sun),4.2,Casual Dining,4227 votes,"Firni,MuttonKosha,ChickenChatpata,MuttonBiryani,Haleem,TandooriChicken,ChickenTikkaKebab"
27,22.5422852,88.351764,Scrapyard," 10th Floor, 12-A, Usha Kiran Building, Camac Street Area, Kolkata",Camac Street Area,1100," North Indian, Chinese, Continental","                                1 PM to 12 Midnight (Mon, Tue, Wed, Thu, Sun), 12...",3.6,"Lounge,Casual Dining",227 votes,"PaneerTikka,Mocktails,VirginMojito,Chocolava"
28,22.5419254,88.3858001,The GRID," Haute Street Corporate Park, 86A Topsia Road (South), Kolkata",Topsia,1800," Continental, Burger, Italian, Pizza","                                12 Noon to 12 Midnight (Mon, Tue, Wed, Thu, Sun), 12...",4.3,"Microbrewery,Casual Dining",670 votes,"ThinCrustPizza,Mocktails,CraftBeer,Stout,BrewedBeer,Mudpie,TandooriAloo"
29,22.5382752,88.3653259,Chili's Grill & Bar," 4th Floor, Quest Mall, 33, Syed Ali Amir Avenue, Ballygunge, Kolkata","Quest Mall, Ballygunge",1700," American, Mexican, Italian, Burger",                                12 Noon to 11:30 PM (Mon-Sun),4.9,"Casual Dining,Bar",4352 votes,"TomatoSoup,Sangria,SantaFeSalad,Mocktails,Fajitas,Fajita,ChickenNachos"
30,22.568872355,88.433740139,10 Downing Street," Ground Floor, Plot G2, Block GP, PS Srijan Corporate Park, Sector 5, Salt Lake","Sector 5, Salt Lake",1900," North Indian, Chinese, Continental","                                12 Noon to 11:45 PM (Mon, Tue, Wed, Thu, Sun), 12...",4.1,Pub,1042 votes,"Mocktails,VirginMojito,Margarita,PaneerTikka,Spaghetti,LongIslandIcedTea,Lasagne"
31,22.5532075477,88.3532001078,Mocambo," 25B Park Street, Park Street Area, Kolkata",Park Street Area,1100, Continental,                                11 AM to 11:20 PM (Mon-Sun),3.9,Casual Dining,4800 votes,"MuttonCutlets,SeaFood,ButterNaan,PaneerTikka,BloodyMary,Risotto,DeviledCrab"
32,22.5690129134,88.4339614213,Kareem's," PS Srijan Corporate Park, Plot G-2, Block GP, Retail Unit 2, Tower 1, Sector 5, Salt Lake, Kolkata","Sector 5, Salt Lake",1250," Biryani, Beverages, North Indian, Hyderabadi, Mughlai, Kebab","                                12 Noon to 3:30 PM, 7 PM to 11:30 PM (Mon-Sun)",4,Casual Dining,658 votes,"Firni,ChickenTikkaMasala,Mocktails,NihariGosht,MurghMalaiKebab,PaneerTikka,ShahiTukda"
33,22.5182102,88.3577631,Hatari," 113/1B, Rash Behari Avenue, Near Triangular Park, Gariahat, Kolkata",Gariahat,1100," Chinese, North Indian, Seafood",                                11:30 AM to 10:30 PM (Mon-Sun),4.3,Casual Dining,3483 votes,"Noodles,CrispyChicken,MasalaKulcha,SweetCornSoup,Momos,MongolianChicken,GravyChowmein"
34,22.5151186,88.367753,Santa's Fantasea," 9, Ballygunge Terrace, Near Anjali Jewellers, Golpark, Kolkata",Golpark,800," Seafood, Chinese","                                12 Noon to 4 PM, 6 PM to 10:30 PM (Mon-Sun)",4.3,Casual Dining,2959 votes,"SeaFood,Noodles,ShanghaiSquid,JumboLobster,BansaPora,SoruChakli,OnionKheer"
35,22.5065462685,88.3626267314,Blue Mug," 1/121, Jodhpur Park, Kolkata",Jodhpur Park,700," Cafe, Continental, Italian, Salad",                                11 AM to 11 PM (Mon-Sun),4.1,Cafe,1137 votes,"Coffee,OreoShake,Americano,ChickenCordonBleu,ChickenSteak,Mocktails,ChickenBbqBurger"
36,22.5385075,88.3515194,Oh! Calcutta," 4th Floor, Forum Mall, 10/3, Elgin Road, Elgin, Kolkata","Forum Mall, Elgin",1400," Bengali, Seafood","                                12:15 PM to 3:30 PM, 7 PM to 11 PM (Mon-Fri),12 Noon...",4.2,Fine Dining,1314 votes,"DaabChingri,NolenGurerIceCream,BhapaMurgi,JumboPrawns,Luchi,SeaFood,PrawnMalaiCurry"
37,22.5370959,88.3591818,Mainland China," Uniworth House, 3A, Gurusaday Road, Ballygunge, Kolkata",Ballygunge,1700, Chinese,"                                12:30 PM to 3 PM, 7 PM to 11 PM (Mon-Thu),12:30 PM...",4.3,Fine Dining,1636 votes,"JumboPrawns,Mocktails,Mousse,SeaFood,Brownie,Dimsum,HotChocolate"
38,22.538813,88.32219,India Restaurant," Ground Floor, 1st Floor, 2nd Floor, 34, Karl Marx Sarani, Kidderpore, Kolkata",Kidderpore,850," Biryani, North Indian, Chinese, Mughlai",                                11 AM to 11 PM (Mon-Sun),4.7,Casual Dining,1660 votes,"Firni,ShahiTukda,Haleem,MuttonBiryani,MuttonChaap,Phirni,ChickenTikka"
39,22.544266,88.352308,Monkey Bar," 901A, 9th Floor, 6, Camac Street Area, Kolkata",Camac Street Area,1500," American, Asian, European, North Indian","                                12 Noon to 12 Midnight (Mon, Tue, Wed, Thu, Sun), 12...",4.2,"Bar,Casual Dining",599 votes,"Tikki,Nachos,Mojito,ButterChickenKhichdi,Sangria,GingerBeer,KeemaGhotala"
40,22.5488315,88.400401,Sigree Global Grill," 1st Floor, Silver Spring Arcade, EM Bypass, Science City Area, Kolkata","Silver Spring Arcade, Science City Area",1600, North Indian,"                                12:30 PM to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",4.2,Casual Dining,1840 votes,"Phirni,Mudpie,Chaat,Spaghetti,ChickenCurry,ButterNaan,MuttonBiryani"
41,22.5432608,88.3520505,Afra Tafri," 9, Camac Street Area, Kolkata",Camac Street Area,1000," Bengali, Continental, Asian, Italian, North Indian, Chinese",                                12:30 PM to 12 Midnight (Mon-Sun),4,Casual Dining,393 votes,"Mocktails,ButterChicken,HerbChicken,FarmhousePizza,PaneerMakhanwala,ChocolateFondue,CreamCheeseBrownie"
42,22.5171909,88.3609265,The Feast Street," 66/2C,  Purna Das Road, Hindustan Park, Kolkata",Hindustan Park,700," North Indian, Mughlai, Biryani, Lebanese","                                12 Noon to 11 PM (Mon-Fri),12 Noon to 12 Midnight...",4.3,Casual Dining,902 votes,"Firni,Shawarma,Rabri,PanneerButterMasala,StuffedKulcha,DhaniaChicken,MurghMalai"
43,22.5779139,88.400581,Flame N Grill Restaurant," 4th Floor, Mani Square Mall, 164/1, E.M. Bypass, Kankurgachi, Kolkata","Mani Square Mall, Kankurgachi",1500," North Indian, Continental","                                12:30 PM to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",4,"Casual Dining,Bar",1237 votes,"PrawnCurry,ShahiTukda,PrawnKebab,Mousse,MuttonSeekhKebab,GulabJamun,MuttonBiryani"
44,22.5382752,88.3653259,The Irish House," 5th Floor, Quest Mall, 33, Syed Ali Amir Avenue, Ballygunge, Kolkata","Quest Mall, Ballygunge",1900," European, American","                                12 Noon to 11:30 PM (Mon, Tue, Wed, Thu, Sun), 12...",4.4,"Pub,Casual Dining",2499 votes,"DrunkenMushrooms,OnionRings,Chaat,MurghPlatter,Nachos,CubanMojito,Margarita"
45,22.5156703,88.348712,Tandoor House," 2B, Parashar Road, Near Lake Mall, Lake Market Area, Kolkata",Lake Market Area,600," Continental, Biryani, North Indian, Chinese, Mughlai",                                12:30 PM to 10 PM (Mon-Sun),3.6,Casual Dining,1288 votes,"VegThali,ChickenKebab,TandooriChicken,DalMakhani,RoastChicken,Noodles,ChickenWings"
46,22.5151450055,88.3571486548,Fusion Fantasea," 14B, Anil Roy Road, Southern Avenue, Kolkata",Southern Avenue,700," Cafe, Goan, Kerala, Mughlai, Seafood","                                12 Noon to 11 PM (Mon-Fri),12 Noon to 5 PM, 6 PM to...",4.1,"Casual Dining,Cafe",392 votes,"BambooBiryani,SeaFood,MurghGheeRoast,PrawnGheeRoast,SquidKoliwada,MuttonBalls,Mocktails"
47,22.5349915,88.3536437,My Big Fat Belly,,,,,,,,,"KiwiDrink,MousseCake,VirginMojito,ButterscotchShake,ButterChickenRisotto,Tiramisu,ChickenWings"
48,22.5385538,88.3652501,Nawwarah Fine Dine & Lounge,,,,,,,,,"MilkyWay,MasalaChaiIceCream,MushroomBurger,Mocktails,SpringRoll,Nachos,DumBiryani"
49,22.5514587155,88.3538448438,Mamagoto," 24, Park Street, Annex Building, Magma House Complex, Park Street Area, Kolkata",Park Street Area,1500," Asian, Thai, Chinese, Salad",                                12 Noon to 11:30 PM (Mon-Sun),4.3,Casual Dining,635 votes,"KhauSuey,Noodles,Dumplings,Sangria,CoconutIceCream,PapayaSalad,CrispyLotusStem"
50,22.5534159322,88.3520316705,Olypub," 21, Park Street, Park Street Area, Kolkata",Park Street Area,1100," Continental, North Indian",                                11 AM to 11 PM (Mon-Sun),3.5,"Bar,Casual Dining",3277 votes,"BeefSteak,ChickenAlaKiev,MuttonSteak,MuttonCutlets,TandooriChicken,ChickenButterMasala,FingerChips"
51,22.5779132,88.4005052,Haka," 4th Floor, Mani Square Mall, 164/1, EM Bypass, Kankurgachi, Kolkata","Mani Square Mall, Kankurgachi",900, Chinese,"                                12:30 PM to 3 PM, 7 PM to 11 PM (Mon-Fri),12:30 PM...",3.9,Casual Dining,2100 votes,"SeaFood,Noodles,Mousse,CaramelCustard,Momos,ButterPudding,ChickenDrumsticks"
52,22.5379599453,88.3498426527,TGI Fridays," Forum Mall, 10/3, Elgin Road, Elgin, Kolkata",Elgin,1800," Mexican, American",                                12 Noon to 12 Midnight (Mon-Sun),4.1,"Casual Dining,Bar",1201 votes,"Cosmopolitan,ChocolateMilkshake,Mojito,BeefSteak,Mocktails,CaesarSalad,Fajitas"
53,22.5528743795,88.352550678,Flurys," 18, Park Street Area, Kolkata",Park Street Area,1350," Bakery, Continental, Cafe, Desserts",                                7:30 AM to 9:45 PM (Mon-Sun),3.9,"Bakery,Cafe",3258 votes,"EnglishBreakfast,Coffee,BaconSandwich,ChocolateMousse,MuttonPuffs,MuttonPatty,SpinachQuiche"
54,22.5367630668,88.3513269201,The Belgian Waffle Co.,,,,,,,,,"Coffee,ChocolateOverload,BlueberryCheesecake,BelgianWaffles"
55,22.5108447747,88.3482638374,The Steak Factory," 50, Lake Place, Southern Avenue, Kolkata",Southern Avenue,1000," Italian, Continental",                                12 Noon to 10:30 PM (Mon-Sun),4,Casual Dining,1645 votes,"Pinacolada,ChickenSteak,TenderloinSteak,Mousse,Mocktails,ChickenSoup,SpaghettiCarbonara"
56,22.5468092,88.3531126,Shisha - Bar Stock Exchange," 5th Floor, Westside Building, Block D, 22, Camac Street Area, Kolkata",Camac Street Area,1500, Finger Food,"                                3 PM to 12 Midnight (Mon, Tue, Wed, Thu, Sun), 3 PM...",3.6,Bar,490 votes,"PeriPeriPotatoWedge,LongIslandIcedTea,KungPaoChicken"
57,22.5148736898,88.3932954445,Asia Kitchen by Mainland China," 4th Floor, Acropolis Mall, 1858/1, Rajdanga Main Road, Kasba, Kolkata","Acropolis Mall, Kasba",1800," Asian, Chinese","                                12:30 PM to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",4.4,Casual Dining,1240 votes,"JumboPrawns,KaffirLime,TomKhaSoup,KingPrawnTempura,SpringRoll,Momos,Brownie"
58,22.5691717381,88.4329780564,Pour House," 1st Floor, Plot L1, Meghatherm Tower, Block GP, Near RDB Cinema, Sector 5, Salt Lake","Sector 5, Salt Lake",1500," Italian, Mexican, Chinese, North Indian, Continental","                                12 Noon to 12 Midnight (Mon, Tue, Wed, Thu, Sun), 12...",3.9,"Lounge,Bar",724 votes,"PaneerTikka,LongIslandIcedTea,Mojito,Mocktails,PaneerLababdarPlatter,KitKatShake,PepperPrawns"
59,22.5778193,88.4004294,Chapter 2," 4th Floor, Mani Square Mall, 164/1, E.M. Bypass,  Kankurgachi, Kolkata","Mani Square Mall, Kankurgachi",1500," Continental, Chinese, Seafood",                                12:30 PM to 11 PM (Mon-Sun),3.8,"Casual Dining,Cocktail Bar",855 votes,"CreamChickenSoup,Mocktails,RoastBeef,FruitCustard,Nachos,Spaghetti,Tiramisu"
60,22.5472117,88.3506485,Gabbar's Bar & Kitchen," 11/1, Ho Chi Minh Sarani, Camac Street Area, Kolkata",Camac Street Area,1400," North Indian, Chinese, Mexican, Italian","                                12:30 PM to 4:30 PM, 5:30 PM to 11 PM (Mon-Sun)",4.5,"Casual Dining,Bar",1907 votes,"CheloKebab,Panipuri,ChocolateCake,Papri,ChipotleChicken,ChilliGarlicNoodles,LimeMojito"
61,22.5752877431,88.4325639904,Rang De Basanti Dhaba," DN 37, Sector 5, Salt Lake","Sector 5, Salt Lake",700, North Indian,                                11 AM to 1 AM (Mon-Sun),3.8,Casual Dining,1886 votes,"Rajma,BhejaFry,ButterChicken,MurghKalimirch,Lassi,ChikenRoll,Firni"
62,22.5379955,88.3489724,The Bikers Cafe,,,,,,,,,"PeriPeriBurger,CoffeeHazelnut,Falafel,Mocktails,Chaat,Pancakes,ChocolateWaffles"
63,22.5125984574,88.3513222262,Macazzo," 64, Southern Avenue, Kolkata",Southern Avenue,500," Cafe, Italian, American","                                Closed (Mon),12 Noon to 9:30 PM (Tue-Sun)",4.4,Cafe,710 votes,"FrenchFries,HotChocolate,ChocolateSundae,OreoShake,BrownieShake,KiwiMojito,Mocktails"
64,22.5332189,88.3532644,Jai Hind Dhaba," 41/1A, Sarat Bose Road, Paddapukur, Kolkata",Paddapukur,450," North Indian, Chinese",                                12 Noon to 2 AM (Mon-Sun),3.9,Dhaba,1703 votes,"ChickenBharta,MuttonKeema,TandooriChicken,DalMakhani,ChanaMasala,MixVeg,Lassi"
65,22.514647593,88.3532111719,Tolly Tales," 34, Dr. Sarat Banerjee Road, Southern Avenue, Kolkata",Southern Avenue,900," North Indian, Chinese, Continental, Salad",                                12 Noon to 11 PM (Mon-Sun),3.9,"Casual Dining,Bar",605 votes,"PorkChops,ChickenBharta,ChilliChicken,Mocktails,HunanChicken,CrispyChilliBabycorn,BeerBatterFish"
66,22.5951974,88.419798,Chowman," BF 198, Sector 1, Salt Lake","Sector 1, Salt Lake",1100," Seafood, Chinese",                                12 Noon to 10:30 PM (Mon-Sun),4.1,Casual Dining,2061 votes,"Noodles,JumboPrawns,LemonChicken,ChickenShumai,CrispyChilliBabycorn,KungPaoChicken,TalumeinSoup"
67,22.5593145,88.353171,Blue And Beyond," The Lindsay, 8A & 8B, Lindsay Street, New Market Area, Kolkata","Hotel Lindsay, New Market",1600," Continental, North Indian, Chinese, Kebab, Thai",                                12 Noon to 11 PM (Mon-Sun),3.9,"Casual Dining,Bar",1474 votes,"TeriyakiChicken,KungPaoChickenSizzler,Mocktails,CrispyChicken,HotChocolateFudge,SweetCornSoup,AfghaniGosht"
68,22.5163739723,88.3602821454,Zucca Lounge," P 264C, Hemanta Mukhopadhay Sarani, Southern Avenue, Kolkata",Southern Avenue,1000, Cafe,"                                12 Midnight to 1 AM, 12 Noon to 12 Midnight (Mon-Sun)",3.8,Cafe,521 votes,"PassionFruitMojito,Mocktails,Brownie,ManchowSoup,MushroomSoup,WatermelonMojito,Nachos"
69,22.5457770253,88.3874780685,Golden Joy," 50/1, Matheswartala Tala Road, Near Gobinda Khatick Post Office, Tangra, Kolkata",Tangra,900, Chinese,                                12 Noon to 11 PM (Mon-Sun),3.9,"Casual Dining,Bar",1511 votes,"JumboPrawns,BbqChicken,Brownie,Noodles,ChickenHoney,Mocktails,RoastChicken"
70,22.5876802,88.4079601,Afraa Restaurant And Lounge," 6th and 7th Floor, Block G, City Centre 1, Salt Lake Sector 1, Sector 1, Salt Lake","City Centre 1, Sector 1, Salt Lake",1800," Continental, Italian, Mediterranean","                                12:30 PM to 3 PM, 7 PM to 11 PM (Mon-Sun)",4.3,"Fine Dining,Lounge",1914 votes,"Tiramisu,VirginMojito,Brownie,ChocolatePaan,Nachos,Cheesecake,MuttonBiryani"
71,22.546592337,88.3881787956,Big Boss," 54C, Matheswartala Road, Tangra, Kolkata",Tangra,1000, Chinese,                                12 Noon to 10:30 PM (Mon-Sun),3.6,"Casual Dining,Bar",1628 votes,"Noodles,DragonChicken,FruitCocktail,DragonFish,PrawnPapad,ShanghaiChicken,Momos"
72,22.5707994,88.4010322,Beer Republic," 89C, Maulana Abul Kalam Azad Sarani, Near Swabhumi, Kankurgachi, Kolkata",Kankurgachi,2000," Chinese, Continental, North Indian, Beverages, Pizza, Italian, Salad, Desserts","                                12 Noon to 12 Midnight (Mon, Tue, Thu, Sun), 12 Noon...",3.4,"Microbrewery,Casual Dining",722 votes,"BrunetteBeer,CraftBeer,WheatBeer,CrispyChilliBabycorn,Fries,GarlicChicken,FishFingers"
73,22.506624,88.3670922,Tandoor Park," 28/4, Gariahat Road, Near Jodhpur Park Post Office, Dhakuria, Kolkata",Dhakuria,900," North Indian, Chinese",                                12 Noon to 10:30 PM (Mon-Sun),3.9,"Casual Dining,Bar",1287 votes,"Mocktails,KeemaNaan,Shawarma,MurghMusallam,MasalaKulcha,TandooriChicken,MurgReshmiKabab"
74,22.5532961034,88.3532376587,Tung Fong," Ground Floor, 25 B, Karnani Mansion, Free School Street, Park Street Area, Kolkata",Park Street Area,1000, Asian,"                                12 Noon to 4 PM, 6 PM to 11 PM (Mon-Sun)",4.2,Casual Dining,2405 votes,"Mocktails,JumboPrawns,Noodles,KungPaoChicken,ChickenLungFungSoup,ManchowSoup,ClearSoup"
75,22.5532961034,88.3532376587,Kabuliwala,,,,,,,,,"Firni,Buttermilk,Phirni,BhunaChicken,ChickenBiryani,Chaach,BhunaGosht"
76,22.5371103,88.3514435,Fabbrica Della Pizza," 8A, Allenby Park, Elgin, Kolkata",Elgin,800," Italian, Pizza",                                12:30 PM to 10:45 PM (Mon-Sun),4.5,Casual Dining,338 votes,"Tiramisu,QuattroFormagio,Spaghetti,StrawberryShake,DessertPizza,IceTea,VeggieWrap"
77,22.5952496,88.4061604,Fly Kouzina," AD - 73, Near BD Market Bus Stop, Sector 1, Salt Lake City, Kolkata","Sector 1, Salt Lake",1100," Continental, North Indian, Chinese",                                12 Noon to 10:45 PM (Mon-Sun),4.2,Casual Dining,954 votes,"MinestroneSoup,Mocktails,Brownie,OrangeMojito,MushroomSoup,SpringRoll,Crepe"
78,22.569028703,88.4332040325,Chai Break," K1, RDB Boulevard, Block EP & GP, Sector 5, Salt Lake","RDB Boulevard, Sector 5",1000," Cafe, Fast Food, Italian, Mediterranean, Continental, Salad",                                12 Noon to 12 Midnight (Mon-Sun),3.8,"Cafe,Casual Dining",1189 votes,"Mocktails,MixSaucePasta,ChocolateTart,ShanghaiChicken,ChocolatePastry,VirginMojito,MuttonRoganjosh"
