,latitude,longitude,name,Address,Area,Cost for two,Cuisine,Hours,Ratings,Type,Votes,Food-choices
2592,22.6155466,88.4124712,Cafe Bollywood," 4th Floor, Food Stop Food Court ,Diamond Plaza Mall, 68 Nagerbazar, Nagerbazar, Kolkata","Diamond Plaza Mall, Nagerbazar",400," Chinese, North Indian, Italian",                                10:30 AM to 10 PM (Mon-Sun),2.7,Food Court,7 votes,
2593,22.4398336,88.3972447,Steamos," Ground Floor, Woodsquare Mall, Narendra Pur, Kolkata",Narendra Pur,500," Tibetan, Chinese",                                11 AM to 9 PM (Mon-Sun),2.8,Quick Bites,14 votes,
2594,22.6482886,88.4355607,Dhaka Biryani House," Airport Gate 2, Dum Dum, Kolkata",Dum Dum,350," Biryani, Fast Food",                                12 Noon to 10:30 PM (Mon-Sun),2.7,Casual Dining,13 votes,
2595,22.518444,88.333198,The Last Course," 3rd Floor, 24/1/1, Alipore Road, Alipore, Kolkata",Alipore,700," Bakery, Desserts",                                10 AM to 9 PM (Mon-Sun),3.1,Bakery,12 votes,
2596,22.5317705,88.3267633,Cakes And More," 4th Floor, 57/2F, Diamond Harbour Road, Opposite Calcutta Hospital, Kidderpore, Kolkata",Kidderpore,500," Bakery, Desserts","                                9 AM to 9 PM (Mon-Sat),11 AM to 6 PM (Sun)",3.4,"Bakery,Dessert Parlor",22 votes,
2597,22.5941453,88.3393022,National Hotel & Restaurant," 400, G.T. Road, Salkia, Howrah",Salkia,300," Biryani, Street Food",                                10 AM to 12 Midnight (Mon-Sun),2.9,Quick Bites,7 votes,
2598,22.5165451,88.3489112,GRAB & GO," 4th Floor, Yum Street, Lake Mall, 104, Rash Behari Avenue,","Lake Mall, Rash Behari Avenue",250, Street Food,                                11 AM to 9 PM (Mon-Sun),3.1,Food Court,13 votes,
2599,22.6154914,88.4124857,Punjabi Adda," 4th Floor, Food Stop Food Court, Diamond Plaza Mall, 68 Nagerbazar, Nagerbazar, Kolkata","Diamond Plaza Mall, Nagerbazar",400," Chinese, North Indian, Italian",                                10:30 AM to 10 PM (Mon-Sun),3,Food Court,8 votes,
2600,22.5605725,88.3516711,Pete Hunger," 3A, Humayun Place, New Market Area, Kolkata",New Market Area,200, Fast Food,                                11:30 AM to 9 PM (Mon-Sun),2.5,Quick Bites,15 votes,
2601,22.5533413102,88.3522757515,The Roll Shop," 31, Park Street, Park Street Area, Kolkata",Park Street Area,250," Fast Food, Rolls",                                11 AM to 11 PM (Mon-Sun),3.2,Quick Bites,20 votes,
2602,22.6472984,88.4347196,Swagatam,,,,,,,,,
2603,22.6196391,88.4131881,Nightangle," 1, Ananda Mohan Bose Road, Nagerbazar, Kolkata",Nagerbazar,400," Chinese, North Indian",                                12 Noon to 11:30 PM (Mon-Sun),2.8,Casual Dining,7 votes,
